0.091127 9.973655 0.142551 0.963260 0.000000 0.936630 0.000000 0.063370 1314.652089 
0.091346 9.947373 0.142881 0.963171 0.000000 0.936479 0.000000 0.063521 1310.038033 
0.091565 9.921153 0.143211 0.963082 0.000000 0.936327 0.000000 0.063673 1305.440464 
0.091785 9.894997 0.143542 0.962993 0.000000 0.936174 0.000000 0.063826 1300.859321 
0.092006 9.868903 0.143874 0.962903 0.000000 0.936022 0.000000 0.063978 1296.294547 
0.092226 9.842872 0.144207 0.962813 0.000000 0.935868 0.000000 0.064132 1291.746083 
0.092448 9.816903 0.144540 0.962723 0.000000 0.935715 0.000000 0.064285 1287.213870 
0.092670 9.790996 0.144874 0.962633 0.000000 0.935561 0.000000 0.064439 1282.697851 
0.092892 9.765152 0.145209 0.962542 0.000000 0.935406 0.000000 0.064594 1278.197967 
0.093115 9.739369 0.145544 0.962452 0.000000 0.935251 0.000000 0.064749 1273.714161 
0.093339 9.713648 0.145881 0.962360 0.000000 0.935096 0.000000 0.064904 1269.246375 
0.093563 9.687988 0.146218 0.962269 0.000000 0.934941 0.000000 0.065059 1264.794553 
0.093788 9.662390 0.146555 0.962178 0.000000 0.934785 0.000000 0.065215 1260.358636 
0.094013 9.636854 0.146894 0.962086 0.000000 0.934628 0.000000 0.065372 1255.938568 
0.094238 9.611378 0.147233 0.961994 0.000000 0.934471 0.000000 0.065529 1251.534292 
0.094465 9.585964 0.147573 0.961901 0.000000 0.934314 0.000000 0.065686 1247.145752 
0.094691 9.560610 0.147914 0.961809 0.000000 0.934156 0.000000 0.065844 1242.772892 
0.094919 9.535317 0.148255 0.961716 0.000000 0.933998 0.000000 0.066002 1238.415655 
0.095147 9.510085 0.148598 0.961623 0.000000 0.933840 0.000000 0.066160 1234.073986 
0.095375 9.484913 0.148941 0.961530 0.000000 0.933681 0.000000 0.066319 1229.747828 
0.095604 9.459801 0.149284 0.961436 0.000000 0.933522 0.000000 0.066478 1225.437127 
0.095834 9.434750 0.149629 0.961343 0.000000 0.933362 0.000000 0.066638 1221.141827 
0.096064 9.409758 0.149974 0.961249 0.000000 0.933202 0.000000 0.066798 1216.861873 
0.096294 9.384827 0.150320 0.961154 0.000000 0.933041 0.000000 0.066959 1212.597210 
0.096526 9.359955 0.150667 0.961060 0.000000 0.932880 0.000000 0.067120 1208.347784 
0.096757 9.335143 0.151015 0.960965 0.000000 0.932719 0.000000 0.067281 1204.113539 
0.096990 9.310390 0.151363 0.960870 0.000000 0.932557 0.000000 0.067443 1199.894422 
0.097222 9.285696 0.151712 0.960775 0.000000 0.932394 0.000000 0.067606 1195.690379 
0.097456 9.261062 0.152062 0.960679 0.000000 0.932232 0.000000 0.067768 1191.501356 
0.097690 9.236486 0.152413 0.960583 0.000000 0.932069 0.000000 0.067931 1187.327298 
0.097924 9.211970 0.152764 0.960487 0.000000 0.931905 0.000000 0.068095 1183.168153 
0.098159 9.187512 0.153117 0.960391 0.000000 0.931741 0.000000 0.068259 1179.023867 
0.098395 9.163112 0.153470 0.960294 0.000000 0.931577 0.000000 0.068423 1174.894387 
0.098631 9.138771 0.153823 0.960197 0.000000 0.931412 0.000000 0.068588 1170.779660 
0.098868 9.114489 0.154178 0.960100 0.000000 0.931247 0.000000 0.068753 1166.679633 
0.099105 9.090264 0.154533 0.960003 0.000000 0.931081 0.000000 0.068919 1162.594254 
0.099343 9.066098 0.154889 0.959905 0.000000 0.930915 0.000000 0.069085 1158.523471 
0.099582 9.041990 0.155246 0.959807 0.000000 0.930748 0.000000 0.069252 1154.467230 
0.099821 9.017939 0.155604 0.959709 0.000000 0.930581 0.000000 0.069419 1150.425481 
0.100061 8.993946 0.155962 0.959611 0.000000 0.930414 0.000000 0.069586 1146.398171 
0.100301 8.970010 0.156322 0.959512 0.000000 0.930246 0.000000 0.069754 1142.385248 
0.100542 8.946131 0.156682 0.959413 0.000000 0.930077 0.000000 0.069923 1138.386662 
0.100783 8.922310 0.157043 0.959314 0.000000 0.929909 0.000000 0.070091 1134.402361 
0.101025 8.898546 0.157404 0.959214 0.000000 0.929739 0.000000 0.070261 1130.432294 
0.101267 8.874839 0.157767 0.959115 0.000000 0.929570 0.000000 0.070430 1126.476410 
0.101511 8.851188 0.158130 0.959015 0.000000 0.929400 0.000000 0.070600 1122.534658 
0.101754 8.827595 0.158494 0.958914 0.000000 0.929229 0.000000 0.070771 1118.606988 
0.101999 8.804057 0.158859 0.958814 0.000000 0.929058 0.000000 0.070942 1114.693349 
0.102243 8.780576 0.159224 0.958713 0.000000 0.928886 0.000000 0.071114 1110.793692 
0.102489 8.757152 0.159591 0.958612 0.000000 0.928714 0.000000 0.071286 1106.907965 
0.102735 8.733783 0.159958 0.958510 0.000000 0.928542 0.000000 0.071458 1103.036121 
0.102982 8.710470 0.160326 0.958409 0.000000 0.928369 0.000000 0.071631 1099.178108 
0.103229 8.687214 0.160695 0.958307 0.000000 0.928196 0.000000 0.071804 1095.333878 
0.103477 8.664012 0.161065 0.958205 0.000000 0.928022 0.000000 0.071978 1091.503381 
0.103725 8.640867 0.161435 0.958102 0.000000 0.927848 0.000000 0.072152 1087.686567 
0.103974 8.617777 0.161806 0.957999 0.000000 0.927673 0.000000 0.072327 1083.883389 
0.104224 8.594742 0.162179 0.957896 0.000000 0.927498 0.000000 0.072502 1080.093798 
0.104474 8.571762 0.162552 0.957793 0.000000 0.927323 0.000000 0.072677 1076.317744 
0.104725 8.548838 0.162925 0.957689 0.000000 0.927146 0.000000 0.072854 1072.555179 
0.104976 8.525968 0.163300 0.957586 0.000000 0.926970 0.000000 0.073030 1068.806056 
0.105228 8.503153 0.163675 0.957481 0.000000 0.926793 0.000000 0.073207 1065.070326 
0.105481 8.480393 0.164051 0.957377 0.000000 0.926615 0.000000 0.073385 1061.347941 
0.105734 8.457687 0.164428 0.957272 0.000000 0.926438 0.000000 0.073562 1057.638854 
0.105988 8.435036 0.164806 0.957167 0.000000 0.926259 0.000000 0.073741 1053.943016 
0.106242 8.412439 0.165185 0.957062 0.000000 0.926080 0.000000 0.073920 1050.260382 
0.106497 8.389896 0.165564 0.956956 0.000000 0.925901 0.000000 0.074099 1046.590903 
0.106753 8.367407 0.165945 0.956850 0.000000 0.925721 0.000000 0.074279 1042.934532 
0.107009 8.344972 0.166326 0.956744 0.000000 0.925541 0.000000 0.074459 1039.291223 
